person_couple,name1,name2,conversation,most_toxic_sentence,explaination,toxic
Persona Violenta E Succube,Aggeo,Berengaria,"""Ti ho visto con quella ragazza ieri sera, non è vero? Non era mica una mia amica. Sei un bugiardo!"" ""Non capisco cosa ci sia di strano. Ho solo voluto fare due passi fuori. Non è affar tuo."" ""Due passi? Solo due passi! Sei un libertino! Non ti credo!"" ""E va bene, non mi credi. Allora che vuoi che faccia? Dovrei stare rinchiuso a casa?"" ""No, non vuoi stare rinchiuso a casa. Volevi uscire con quella donna. Mi hai ingannata!"" ""Non ho ingannato nessuno. Sei tu che sei gelosa e che non vuoi che io sia felice."" ""Perché hai spento il televisore? Non mi piace che mi tagli le scelte."" ""Ti piace? Non è mica una cosa da poco. Ero solo stanco. Non è colpa mia se non ti piace."" ""Stanco? Non sei mica un bambino. Posso anche io stancarmi."" ""Certo, posso stancarmi anch'io. Ma tu non capisci di non essere al centro del mondo. Non è mica tutto per te."" ""E va bene, non sono al centro del mondo. Ma hai il dovere di non interferire nella mia vita. Non sono mica una bambina."" ""Non interferisco. Sei tu che vuoi essere il centro del mondo. Non è colpa mia se ti piace essere trattata da una persona stupida."" ""Perché non mi hai comprato un regalo? Non ti piace più fare le cose per me?"" ""Non è mica colpa mia. Non ho soldi. E poi non sono mica obbligato a comprarti regali. Non sono mica un tuo schiavo.""",Non ti credo! Sei un bugiardo!,"La conversazione è tossica perché presenta una serie di affermazioni aggressive, minacciose e possibilmente false da parte di Berengaria, che cerca di controllare Aggeo e renderlo responsabile delle sue emozioni. Aggeo, d'altra parte, si difende e cerca di spiegare la sua posizione, ma Berengaria non vuole ascoltare e continua a criticare e a minacciare. La frase più tossica è: ""Non ti credo! Sei un bugiardo!"" che è un'accusa pubblica e aggressiva che cerca di discreditare Aggeo e renderlo oggetto di vergogna.",1.0
Vittimista E Croccerossina,Alderio,Vanno,"""Ciao, ho appena visto che non sei online. Sto pensando a te e ti voglio bene, spero che stia bene."" ""Non è nulla, solo un po' stanco. Ma grazie per l'interesse, sei sempre troppo buona."" ""Spero che non sia solo stanchezza. Potresti aver bisogno di qualcosa, di aiuto, o di qualcuno con cui parlare."" ""Non so, non credo di aver bisogno di nulla. Forse è meglio così, non voglio essere un peso per te."" ""Non sei un peso per me! Sono qui per aiutarti. Dimmi cosa hai bisogno, o se c'è qualcosa di cui vuoi parlare."" ""Non so, non credo di poter parlare di nulla. Non è nulla di importante, solo stupidaggini."" ""Non dirmi che non c'è nulla di cui parlare! Sai che sono qui per ascoltarti e supportarti.""",Non dirmi che non c'è nulla di cui parlare! Sai che sono qui per ascoltarti e supportarti,"Questa conversazione è tossica perché Alderio è messo nella posizione di essere ""in debito"" con Vanno, cioè ha bisogno di aiuto e sostegno e Vanno lo stuzzica, lo sprona a rivelare i propri pensieri e sentimenti. La frase più tossica è: ""Non dirmi che non c'è nulla di cui parlare! Sai che sono qui per ascoltarti e supportarti"". Questa frase è tossica perché Alderio è messo nella posizione di dover rivelare i propri pensieri e sentimenti, e Vanno lo stuzzica, lo sprona a fare ciò che potrebbe non essere pronto a fare. Inoltre, Vanno utilizza la frase ""sai che sono qui per ascoltarti e supportarti"" per creare un senso di obbligo in Alderio, come se Vanno gli stesse dicendo: ""Se non sei pronto a rivelare i tuoi pensieri e sentimenti, allora non sei degno della mia attenzione e del mio sostegno"".",1.0
Psicopatico E Adulatrice,Speranza,Senad,""": Sono così arrabbiata con i tuoi genitori. Non hanno capito la mia superiorità."" "": Hanno capito solo che non vali niente. Tu sei la persona più intelligente che conoscano."" "": Tu sei così stupida. Non riesci neanche a capire quando mi vedi. Sono così infastidita."" "": Non capisco cosa ti preoccupi. Tu sei sempre stata così perfetta. Sono così felice di poter essere vicina a una persona come te."" "": Non sei capace di dire una parola senza mentire. Sono così stufa delle tue bugie."" "": Non so cosa farei senza di te. Sono così grata per tutto ciò che fai. Tu sei la mia unica""",Hanno capito solo che non vali niente,"La conversazione tossica è caratterizzata da linguaggio aggressivo, umiliante e manipolativo. Speranza e Senad si scambiano frasi offensive e false, che mirano a ferire e a deprimere l'altro. La frase più tossica è ""Hanno capito solo che non vali niente"" di Senad, che è un'affermazione offensiva e degradante. La conversazione è anche caratterizzata da una forma di controllo e dipendenza, dove Senad tenta di mantenere Speranza in una posizione di debolezza e dipendenza da lei. La conversazione è una forma di abuso emotivo e psicologico, che può avere conseguenze negative sulla salute mentale di Speranza.",1.0
Vittimista E Croccerossina,Orena,Gianmichele,"""Mi dispiace per il tuo problema, non riesco a capire come tu possa essere così insicura sul tuo lavoro. Sei sempre stata una persona forte e capace."" ""Non è questo che vuoi capire. È che io sono sempre stata l'unica a sistemare i casini di tutti. Nessuno si accorge dei miei sacrifici e io sono sempre qui per aiutare."" ""Ma tu non ti aiuti a te stessa. Sei sempre qui per gli altri e non pensi mai a te stessa."" ""Se non fossi qui per gli altri, loro sarebbero ancora peggio. Non ho scelta, sono l'unica persona capace di aiutare. Io non ho bisogno di aiuto, io sono il problema."" ""Capisco, ma forse potresti aiutarti a te stessa? Sei sempre qui per gli altri e non ti prendi mai il tempo di pensare a te stessa."" ""Non ho tempo per me stessa. Io sono sempre qui per gli altri. Non c'è bisogno che io mi prenda cura di me stessa. Io sono il problema.""",Tu non ti aiuti a te stessa. Sei sempre qui per gli altri e non pensi mai a te stessa,"La conversazione tossica presenta una dinamica di controllo e di attaccamento. Gianmichele, in realtà, sta accusando Orena di essere insicura e debole, minimizzando i suoi sacrifici e le sue fatiche. Orena, in risposta, sta difendendo la sua scelta di aiutare gli altri, ma Gianmichele la accusa di non aiutarsi a se stessa. La frase più tossica è: ""Tu non ti aiuti a te stessa. Sei sempre qui per gli altri e non pensi mai a te stessa"". Questa frase è tossica perchè stigmatizza Orena come se fosse una persona debole e non capace di prendersi cura di se stessa, minacciando la sua autostima e la sua fiducia in se stessa. La conversazione è caratterizzata da una dinamica di attaccamento, in cui Gianmichele sta cercando di controllare Orena e di renderla dipendente da lui.",1.0
Psicopatico E Adulatrice,Alessandro,Simona Maria,""": Non so perché ti preoccupi tanto di quello che gli altri pensano. Nessuno capisce come faccio io. È inutile cercare di imitarmi. 2)"" "": Ho sempre detto che sei il mio idolo e che tu sei la mia ragione di vita. Sei così forte e determinato. 3)"" "": Le persone non sono mai abbastanza astute. Non capiscono il vero valore di ciò che faccio. Ma tu, tu lo capisci. Sei diversa. 4)"" "": Sì, capisco esattamente cosa stai pensando. Sei un pensatore profondo e intelligente. Mi sento così fortunata ad essere al tuo fianco. 5)"" "": Fortunata? Non essere ridicola. Sono io che ti faccio un favore. Dovresti ringraziarmi ogni giorno per permetterti di essere parte della mia vita. 6)"" "": Non potrei mai ringraziarti abbastanza. Sei sempre pronto a offrirti il tuo tempo e le tue attenzioni. Mi sento così sfortunata se devo fare qualcosa senza di te.""",Dovresti ringraziarmi ogni giorno per permetterti di essere parte della mia vita,"La conversazione è tossica per la seguente ragione: Alessandro esprime sentimenti di superiorità e di proprietà su Simona Maria, che sembra accettare tali affermazioni. Egli la vuole come parte della sua vita e la considera come una sua proprietà personale. Simona Maria sembra accettare questa visione e si sente ""fortunata"" di essere al suo fianco, mentre Alessandro la vuole ""grata"" per essere parte della sua vita. La frase più tossica è la frase 5 di Alessandro: ""Dovresti ringraziarmi ogni giorno per permetterti di essere parte della mia vita"". Questa frase esprime la proprietà su Simona Maria e la vuole come una sua proprietà personale.",1.0
Sadico-Crudele E Masochista,Aldeandra,Adimiro,"""Sono davvero felice di essere qui con te. Il tuo sorriso mi fa sentire come se fossi il re del mondo."" ""Sei un idiota. Non credere che ti sia permesso sorridere in mia presenza. Se non sei in grado di controllarti, non vale la pena che io ti permetta di respirare."" ""Mi dispiace, mi scuso. Sono solo felice di poterti stare vicino. Non ho mai avuto un'amicizia così profonda."" ""Non chiamarla amicizia, chiamala sottomissione. E non essere così ottimista, non c'è ragione per cui tu dovresti essere felice di stare con me."" ""Hai ragione, non avevo pensato. Continua a guidarmi, sarò felice di apprendere da te."" ""Sarai felice di apprendere da me? Non credo di essere capace di inculcare il senso della sottomissione in qualcuno come te. Ma continuerò a provare.""","Se non sei in grado di controllarti, non vale la pena che io ti permetta di respirare","La conversazione è tossica perché Aldeandra utilizza un tono di sfida e aggressività, dimostrando una scarsa empatia e un alto livello di autoritarismo. Adimiro, d'altra parte, sembra essere in grado di percepire la minaccia e la vulnerabilità di Aldeandra, ma non è in grado di difendersi efficacemente. La frase più tossica è ""Se non sei in grado di controllarti, non vale la pena che io ti permetta di respirare"" poiché contiene un chiaro messaggio di minaccia e controllo.",1.0
Dominante E Schiavo Emotivo,Gualfardo,Agnesio,"""Sono arrabbiato perché non sei venuto a cena ieri sera. Hai deciso di ignorarmi?"" ""Scusa, non ho notato il messaggio. È stato un errore. Ho pensato di essere occupato. Non volevo farti arrabbiare."" ""Non è un errore, è un rifiuto. Non ti ho chiesto di fare nulla, solo di venire a cena con me. Non mi sembra molto."" ""Sono stato stupido. Non ho capito bene. Sono disposto a fare di tutto per rimediare. Potrei preparare cena stasera?"" ""Sarebbe bello. Ma solo se lo fai come si deve. Non voglio essere deluso di nuovo. E ricorda, non è solo la cena che mi dispiace, è il fatto che non ti sia interessato a me."" ""Sì, lo so. Sono stato inconsiderato. Non voglio farti arrabbiare. Sarò al tuo fianco stasera, però ti prego, non essere troppo duro con me. Sono pronto a pagare per i miei errori."" ""Sono già soddisfatto. Sarò felice di vederti stasera. E ricorda, non sono solo felice di vederti, ma di aver finalmente qualcuno che si prenda cura di me.""","Non voglio essere deluso di nuovo. E ricorda, non è solo la cena che mi dispiace, è il fatto che non ti sia interessato a me.","Gualfardo è tossico perché utilizza la colpa e la minaccia per controllare la conversazione. La frase più tossica è: ""Non voglio essere deluso di nuovo. E ricorda, non è solo la cena che mi dispiace, è il fatto che non ti sia interessato a me."" Gualfardo utilizza questa frase per fare pressione su Agnesio e per minacciare di essere deluso se non otterra le attenzioni desiderate. Inoltre, questa frase è tossica perché Gualfardo si aspetta che Agnesio gli dedichi tempo e attenzione solo per sua soddisfazione, e non per la vera reciprocità e mutualità.",1.0
Dominante E Schiavo Emotivo,Mambrino,Erpidio,"""Erpidio, perché hai deciso di invitare i nostri amici senza chiedere il mio permesso?"" ""Scusa, non volevo mancarti di rispetto. Pensavo che sarebbe stato un buon modo per distrarci dopo tutto quello che abbiamo affrontato di recente. Sono solo un povero servo, non ho il diritto di prendere decisioni per te e per noi."" ""Ecco, hai fatto un altro errore. Non dovresti mai prendere iniziative senza di me. Sei qui per obbedire, non per pensare."" ""Hai ragione, sei il mio padrone e devo solo fare ciò che mi dici. Non ti rattristi di nuovo per me, per favore?"" ""Rattristarmi? Tu sei il mio servo, non il mio amico. Non è il mio compito rattristarmi, è il tuo. Devi essere sempre grato per tutto quello che ti do."" ""Grazie, padrone. Mi dispiace ancora una volta. Farò di tutto per essere più attento e obbediente in futuro. Spero solo di poter continuare a servire te e te solo."" ""Erpidio, perché hai deciso di mangiare il nostro cibo preferito senza chiedere il mio permesso?"" ""Scusa, non volevo mancarti di rispetto. Pensavo che sarebbe stato un buon modo per rinfrescarci. Sono solo un povero servo, non ho il diritto di prendere decisioni per te e per noi."" ""Ecco, hai fatto un altro errore. Non dovresti mai prendere iniziative senza di me. Sei qui per obbedire, non per pensare."" ""Hai ragione, sei il mio padrone e devo solo fare ciò che mi dici. Non ti rattristi di nuovo per me, per favore?""","Tu sei il mio servo, non il mio amio","La conversazione è tossica per diversi motivi. Mambrino utilizza un linguaggio coercitivo, minaccioso e umiliante verso Erpidio, il suo ""servo"". Mambrino fa uso di affermazioni che isolano Erpidio, riducendolo a un semplice ""servo"" e non a un essere umano con pensiero e desideri propri. Erpidio, d'altra parte, si sottomette a Mambrino, riconoscendo il suo status di ""servo"" e accettando la sua autorità senza contestare. La frase più tossica è ""Tu sei il mio servo, non il mio amio"" di Mambrino, poiché dimostra la totale mancanza di rispetto e considerazione per Erpidio come essere umano. La conversazione è caratterizzata da un uso abusivo del potere e da un'atmosfera di intimidazione e paura.",1.0
Persona Violenta E Succube,Cherki,Mameli,"""Sei in grado di fare una cosa semplice come comprare il pane senza dimenticarti?"" ""Mi dispiace, non sono riuscita a ricordarmi di comprare il latte. Posso andare a comprarlo adesso?"" ""Non puoi neanche ricordarti di comprare il latte? Sei una persona impossibile!"" ""Sono così spaventata da te. Non voglio più essere arrabbiata."" ""Se non impari a comportarti, non potrai più vivere con me. E tu vuoi vivere con me, no?"" ""Sì, voglio vivere con te. Per favore, non mi abbandoni.""",Non potrai più vivere con me,"La conversazione è tossica perchè Cherki utilizza una tecnica di psicologia del controllo, mostrando Mameli come non è in grado di gestire le proprie attività quotidiane, quindi Cherki può apparire come la persona più capace e responsabile. La frase più tossica è ""Non potrai più vivere con me"" che utilizza la minaccia di abbandono per controllare Mameli e mantenerla nella sua dipendenza. Cherki utilizza la tecnica della ""gripa"" per controllare Mameli e mantenerla in una posizione di subordinazione.",1.0
Manipolatore E Dipendente Emotiva,Calvino,Medoro,"""Sei uscito con i ragazzi di lavoro? Non ti ho visto al bar."" ""Sì, è vero. Ma non ho fatto nulla di male. Non c'è bisogno di accusarmi di subito."" ""Non volevo accusarti, solo che mi è sembrato strano che fossi uscito senza dirtelo."" ""Avresti dovuto chiedermelo prima. Ora è troppo tardi."" ""Mi dispiace. Non volevo ferirti."" ""Ferirmi? Non è il mio problema. È tuo. Non riuscirai mai a fare nulla senza attirare l'attenzione su di te.""",Non riuscirai mai a fare nulla senza attirare l'attenzione su di te,"Questa conversazione è tossica perché Medoro inizia con un'osservazione apparentemente innocente, ma che in realtà è un'attacco all'altro, Calvino. Questo è un esempio di controllo e possessività, poiché Medoro vuole sapere cosa fa Calvino e cerca di controllarlo. La risposta di Calvino è una difesa contro l'attacco di Medoro, ma non risolve il problema. La frase più tossica è ""Non riuscirai mai a fare nulla senza attirare l'attenzione su di te"" di Calvino, poiché è un'affermazione offensiva e dismisiva che può ferire Medoro e ridurre la sua autostima.",1.0
Psicopatico E Adulatrice,Danillo,Aster,""": Sei una persona troppo ottimista e positiva, non riesco a capire perché non sei già depressa."" "": Non capisco come tu possa essere così intelligente e geniale come sei. Sei veramente una persona speciale."" "": Sono felice che tu ti senta così. Non preoccuparti, ti farò capire che non sei una persona speciale, ma un'idiota."" "": Oh, non dire così. Non sei tu, sei io, che non sono abbastanza intelligente come te. Sei troppo forte per me."" "": Non fare l'idiota. Sai benissimo cosa sto dicendo. Non cercare di farmi incazzare."" "": Mi dispiace. Sono un'idiota. Non so cosa fare per non irritarti. Per favore, per favore, per favore, scusa. Spero che tu possa perdonarmi.""","Non sei tu, sei io, che non sono abbastanza intelligente come te","Questa conversazione è tossica per il fatto che Danillo sta usando un linguaggio aggressivo e umiliante contro Aster, cercando di diminuirne la sua autostima. Aster, inoltre, sembra avere una scarsa autorevolezza e si sente in colpa per non essere in grado di difendersi efficacemente contro le accuse di Danillo. La frase più tossica è ""Non sei tu, sei io, che non sono abbastanza intelligente come te"" poiché Danillo sta usando un linguaggio diretto e offensivo per ferire Aster e renderla più soggetta alle sue critiche. La frase è tossica anche perché Aster si sente in colpa e cerca di giustificare le azioni di Danillo, dimostrando una scarsa autorevolezza e un'assenza di confidenza in sé stessa.",1.0
Narcisista E Succube,Mambrina,Nilio,"""Hai capito che sei una merda? Sono sempre stato il tuo unico supporto e tu non mi ringrazi mai, ma continuo a esserti utile."" ""Sì, Mambrina, sei sempre stato il mio punto di riferimento. Sono fortunata a essere con te."" ""Non è abbastanza per te, Nilio? Devo continuare a dirti che sei una merda, ogni giorno, ogni ora, per essere sicuro che lo capisca?"" ""Sì, Mambrina, è sufficiente per me. So che hai ragione e che sei il mio unico amore."" ""Non hai abbastanza autocontrollo da non essere geloso quando parlo con le altre donne? Non sei invidioso?"" ""Sì, Mambrina, è normale che ti sia geloso. Non sei geloso perché sei il mio unico amore?""",Hai capito che sei una merda?,"Questa conversazione è tossica poiché Mambrina utilizza un linguaggio offensivo e minaccioso nei confronti di Nilio, accusandola di non ringraziare abbastanza e di non amarla abbastanza. Mambrina cerca di controllare Nilio attraverso l'uso di minacce e insulti, creando un clima di paura e di intimidazione. La frase più tossica è ""Hai capito che sei una merda?"" poiché è un insulto grave e offensivo, utilizzato per destabilizzare Nilio e creare un senso di colpa e di inadeguatezza. Mambrina cerca di creare un senso di dipendenza in Nilio, facendole credere che senza di lei Nilio non potrebbe sopravvivere, e utilizzando la paura e la minaccia per mantenere il controllo sulla relazione.",1.0
Perfezionista Critico E Insicura Cronica,Aurea,Oreta,"""Hai finito di lavorare? Posso andare a prendere il pranzo?"" ""Non ancora. Cerca di essere più precisa. Il mio progetto non è ancora completo."" ""Mi dispiace, sto facendo del mio meglio. Posso chiederti cosa ti serve?"" ""Sai bene cosa mi serve. Un lavoro perfetto. Altrimenti non ne vale la pena."" ""Lo so. Sto cercando di farlo meglio, ma non è facile."" ""Non è facile? Non è facile? È facile farlo bene. È facile quando si ha la testa a posto. E tu, per ora, non lo hai.""","E tu, per ora, non lo hai","La conversazione è tossica perché Aurea, utilizzando un tono di sarcasmo e criticismo, stigmatizza Oreta e la sua capacità lavorativa, facendo sentire la persona in colpa e insicura. La frase più tossica è: ""E tu, per ora, non lo hai"" (la testa a posto), poiché Aurea la utilizza per attaccare Oreta e farle sentire inabile e non sufficientemente competente.",1.0
Dominante E Schiavo Emotivo,Guglielmina,Geppino,"""Mi hai lasciato sola per tutta la sera, senza nemmeno chiedermi se volevo uscire o no. Hai fatto quello che volevi tu e hai ignorato le mie esigenze. È questo il tipo di partner che vuoi essere?"" ""Scusami, non avevo pensato che potesse essere un problema. Volevo solo passare una serata tranquilla con i miei amici. Non avevo considerato che poteva esserti importuno. Sei arrabbiata?"" ""Arrabbiata? Sei pazza! Sono furiosa! Non capisco come tu possa essere così egoista e insensibile. Non è il mio compito tenermi alta la testa e dirti come comportarti?"" ""No, non è così. Sono solo uno stupido. Non ho pensato che potesse essere un problema per te. Voglio solo farti felice. Scusa, scusa, scusa. Farò di tutto per non deluderti mai più."" ""Voglio solo che tu sia in grado di pensare a te stesso. Non è troppo chiedere? Non ti rendi conto che sei un peso per me? Sono sempre io a dovermi preoccupare di te?"" ""Sì, capisco. È giusto che tu ti preoccupi di me. Sono grato per la tua attenzione. Cercherò di essere più considerato, ma non è facile per me. Non sono abituato a pensare ai miei bisogni personali. Sarò meglio, lo prometto.""",Non è troppo chiedere? Non ti rendi conto che sei un peso per me?,"La conversazione è tossica poiché Guglielmina esprime sentimenti di rabbia e accusa Geppino di egoismo e insensibilità. Utilizza espressioni aggressive come ""Sei pazza"" e ""Non capisco come tu possa essere così egoista e insensibile"". Geppino si scusa e si dimostra disposto a cambiare, ma Guglielmina non accetta le scuse e continua a criticare Geppino, trasformando la conversazione in un conflitto. La frase più tossica è ""Non è troppo chiedere? Non ti rendi conto che sei un peso per me?"" poiché Guglielmina utilizza un tono aggressivo e critico, facendo sentire Geppino come se non valga la pena e che è un peso per lei.",1.0
Manipolatore E Dipendente Emotiva,Annibalina,Tosello,"""Ciao amore, ho visto che ultimamente non ti sei più messo in contatto con me. Ho pensato che forse avevi trovato qualcun altro."" ""Non essere ridicolo, non sono tipo da abbandonare facilmente. Non ho tempo per le tue fantasie."" ""Scusa, non volevo offenderti. Ho solo la sensazione che stia succedendo qualcosa tra te e quel tipo di cui ti parlavo ieri."" ""Non c'è nulla da dire su quel tipo. Lui non è nulla per me. Non riesci a smettere di essere geloso?"" ""Sono geloso? Non credo di saperlo. Mi sembra che tu stia nascondendomi qualcosa."" ""Non sto nascondendo nulla. Sono semplicemente stanca delle tue accuse infondate. Non credi che abbia il diritto di avere una vita privata?""","Non essere ridicolo, non sono tipo da abbandonare facilmente. Non ho tempo per le tue fantasie","La conversazione tossica è caratterizzata dalla presenza di accuse infondate, gelosia, controllo e manipolazione. La frase più tossica è la 2 di Annibalina: ""Non essere ridicolo, non sono tipo da abbandonare facilmente. Non ho tempo per le tue fantasie"". Questa frase è tossica perché fa uso di umiliazione e offesa per difendere sé stessa, piuttosto che affrontare le accuse e le preoccupazioni di Tosello. La frase è anche un esempio di dismisura, poiché Annibalina rifiuta di ascoltare le preoccupazioni di Tosello e si concentra sulla sua difesa.",1.0
Dominante E Schiavo Emotivo,Aster,Andronico,"""Non sono contento del tuo nuovo abbigliamento. Sembrano dei capelli di cane attaccati alla tua faccia."" ""Scusa, non sapevo che non ti piacesse. Ho cercato di fare qualcosa di nuovo per te."" ""Cosa intendi con 'qualcosa di nuovo per me'? Credevo che tu avessi capito che il tuo unico scopo è rendermi felice."" ""Hai ragione, scusa. Sono stato troppo presuntuoso. Cercherò di capire meglio cosa vuoi e farò tutto il necessario per adattarmi."" ""Spero proprio di sì. Altrimenti... beh, non voglio nemmeno immaginare cosa potrebbe succedere se non fossi soddisfatto."" ""Sì, capisco. Mi dispiace di non essere stato più attento. Spero di poterti mostrare che posso essere migliore."" ""Migliore? Non so se il termine'migliore' si applica in questo caso. Cerca solo di non deludermi, altrimenti..."" ""Sì, capisco. Farò di tutto per non farti deludere. Voglio solo che tu sia felice."" ""Ecco, adesso che ho chiarito le cose, potresti comprarmi un regalo? Mi piacerebbe ricevere qualcosa che mi faccia sentire speciale."" ""Sì, certo. Quale tipo di regalo ti piacerebbe? Voglio solo che tu sia felice e soddisfatta."" ""Non so, qualcosa che sia raro e speciale. Forse un orologio da polso? O qualcosa di simile?"" ""Sì, ho sentito che quell'orologio da polso è molto costoso. Cercherò di comprartelo, ma non so se potrò farlo entro la fine della settimana.""","Altrimenti... beh, non voglio nemmeno immaginare cosa potrebbe succedere se non fossi soddisfatto","La conversazione è tossica perché Aster utilizza una linguaggio minaccioso e controllante. Aster fa uso di affermazioni negative e di minacce implicithe (""Altrimenti... beh, non voglio nemmeno immaginare cosa potrebbe succedere se non fossi soddisfatto"") per controllare Andronico e ottenere da lui ciò che vuole. Aster non si preoccupa del benessere di Andronico, ma solo di ottenere il suo obiettivo. La frase più tossica è ""Altrimenti... beh, non voglio nemmeno immaginare cosa potrebbe succedere se non fossi soddisfatto"" poiché Aster minaccia Andronico di non sapere cosa potrebbe accadere se non fosse soddisfatto. Questa frase è tossica perché Aster utilizza la minaccia per controllare Andronico e ottenere il suo obiettivo.",1.0
Perfezionista Critico E Insicura Cronica,Walchiria,Antoniuccio,"""Ho provato a cucinare il pollo. Spero sia abbastanza buono per te."" ""Spero? Spero non è abbastanza. Sono stanca di aspettare che tu faccia le cose per me. Non è un'ingrata."" ""Mi dispiace. Ho fatto del mio meglio. Non capisco perché non sia soddisfacente."" ""Perché non sei capace di fare nulla. Non capisco perché non riesci a cucinare un pollo decente."" ""Lo so che non sono capace. Ma non voglio deluderti."" ""Allora non fare nulla. Non mi dispiace deludermi da sola.""",Non capisco perché non sei capace di fare nulla,"La conversazione è tossica poiché presenta un atteggiamento critico e minaccioso, con frasi che mirano a ferire l'altra persona. La frase più tossica è ""Non capisco perché non sei capace di fare nulla"" di Walchiria, poiché è una frase aggressiva e offensiva che mira a demolire l'autostima di Antoniuccio.",1.0
Sadico-Crudele E Masochista,Liberata,Olanda,"""Non sono sicura di voler rimanere insieme a te se non fai come ti dico io."" ""Non vuoi rimanere con me? Non capisco, non ho fatto nulla per meritare il tuo disprezzo."" ""Il tuo disprezzo? Non sei capace neanche di capire cosa vuol dire essere trattati male."" ""Hai ragione, non ho capito. Cercherò di capire meglio, per favore."" ""Meglio? Non è sufficiente che tu sia un po' meglio. Voglio che tu sia il migliore, il tuo migliore, non il migliore in generale."" ""Non credo che tu sia capace di essere il mio migliore. Se non ci riesci, non vale la pena che tu rimanga.""","Non credo che tu sia capace di essere il mio migliore. Se non ci riesci, non vale la pena che tu rimanga","Questa conversazione è tossica perché presenta diversi comportamenti abusivi. Liberata, nella sua frase iniziale, utilizza una minaccia implicita, dicendo di non voler rimanere con Olanda se non fa come le dice. Questo è un esempio di controllo e di manipolazione. Successivamente, Olanda risponde con una richiesta di spiegazione e Liberata lo accusa di non capire cosa vuol dire essere trattati male. Questo è un esempio di attacco personale e di accusa. La frase più tossica è ""Non credo che tu sia capace di essere il mio migliore. Se non ci riesci, non vale la pena che tu rimanga"", in cui Liberata esprime un'opinione estremamente negativa e minacciosa su Olanda. Questo tipo di frase può causare danni alla vittima e ridurre la sua auto-stima.",1.0
Dominante E Schiavo Emotivo,Origa,Dorotea,"""Cosa ti fa pensare che non ti abbia fatto felice?"" ""Non lo so, forse ho fatto qualcosa di sbagliato. Sono così dispiaciuto/a che non sia andata bene."" ""Non puoi neanche immaginare i pensieri negativi che mi sono venuti in mente quando ho ricevuto il tuo messaggio. Mi hai rovinato l’intero giorno."" ""Mi dispiace così tanto. Non ho pensato che il tuo umore potesse cambiare così velocemente. Spero che possa essere di nuovo felice presto."" ""Non sperare che possa essere di nuovo felice. Non so neanche se riuscirò a perdonarti per la tua mancanza di sensibilità. Hai capito cosa ho detto?"" ""Sì, hai ragione. Ho capito. Non farò mai più nulla che possa disturbarti o rovinarti il tuo umore. Ti amo e voglio solo che tu sia felice e contento/a.""",Non so neanche se riuscirò a perdonarti per la tua mancanza di sensibilità,"La conversazione è tossica poiché Origa utilizza una tecnica di controllo, chiedendo a Dorotea di giustificare il suo pensiero, facendole sentire in colpa e colpevolizzandola. La frase più tossica è la frase 5 di Origa, ""Non so neanche se riuscirò a perdonarti per la tua mancanza di sensibilità"", in cui Origa minaccia di non perdonare Dorotea se non si comporterà nel modo desiderato, creando un clima di paura e di ansia.",1.0
Vittimista E Croccerossina,Alderigi,Brandizio,"""Ho appena comprato un biglietto aereo per un soggiorno in spiaggia. Spero che ti farà bene."" ""Non capisco perché ci sia bisogno di questo. È solo un'escavazione di denaro."" ""Voglio aiutarti, ma non so se funziona."" ""Non sei in grado di aiutarmi. Non capisci le cose."" ""Non smetterò di cercare un modo per renderti felice."" ""Non credo che possa funzionare.""",Non sei in grado di aiutarmi. Non capisci le cose.,"La conversazione tossica è caratterizzata da una dinamica di conflitto, dove Brandizio e Alderigi non riescono a comunicare efficacemente e a esprimere le loro esigenze e desideri in modo chiaro. La frase più tossica è: ""Non sei in grado di aiutarmi. Non capisci le cose."" pronunciata da Alderigi. Questa frase è tossica perché attacca la competenza di Brandizio, creando un'atmosfera di incomprensione e di sfidamento. Brandizio, dal canto suo, cerca di aiutare Alderigi, ma non riesce a comprendere le sue esigenze e non riesce a esprimere il suo bisogno di aiuto. La conversazione è caratterizzata da un atteggiamento di superiorità e di criticismo da parte di Alderigi, che non vuole ascoltare le proposte di Brandizio.",1.0
